Title,Author,Date,Content,Image Path,Article URL,Markdown File
"Woody Smith, Michigan",Ariella Granett,2025-02-09 00:00:00 +0300,"The planet needs us to change the way we live. Consume less, squander less and fly not at all. It’s been 5 years since I’ve been on a plane and I’ve been loving staying closer to home and driving or traveling by train as needed. It’s the least I can do, and I love that this community sees it the same way!",/images/IMG_1959.jpg,https://flightfree.org/stories-5/woody-smith-michigan,2025-02-09-woody-smith-michigan.md
"Shani Robinson, California",Ariella Granett,2025-01-14 00:00:00 +0300,"I have given up my dream of traveling the world. I am going to live a simple, happy, and local life. I am from California and my state is burning. Unnecessary travel is not worth what we’re doing to our planet. I shall bloom where I’m planted and appreciate all that I have right here in my backyard.",/images/Shani.jpg,https://flightfree.org/stories-5/shani-robinson-california,2025-01-14-shani-robinson-california.md
"Lorna Davis, Connecticut",Ariella Granett,2024-12-23 00:00:00 +0300,I am ready to settle into my own immediate environment and explore how my life is while stable and connected to nature. No big deal- it just feels right. I never did this before!! Who knows what else will occur to me while not flying away!,,https://flightfree.org/stories-5/lorna-davis-connecticut,2024-12-23-lorna-davis-connecticut.md
"Phil Dynan, California",Ariella Granett,2024-11-22 00:00:00 +0300,I am pledging because I doNOTwant to be responsible - to any degree - in creating climate change. I've also stopped eating cows.,/images/Phil%2BJoy.jpg,https://flightfree.org/stories-5/phil-dynan-california,2024-11-22-phil-dynan-california.md
"Jeffry Steele, Washington",Ariella Granett,2024-11-04 00:00:00 +0300,"I sought to prove that I could drive my VW Id4 from WA to MA and back (via MD). It was a memorable adventure though—between fast-charger rates, overnight accommodations, and tolls—not cheap. I must say it left me wondering how so many of the people I connected with continue to live as though there were no climate or humanitarian crises—how our culture keeps people asleep. You may read about it atjeffrysteele.blogspot.com.",/images/JS.png,https://flightfree.org/stories-5/jeffry-steele-washington,2024-11-04-jeffry-steele-washington.md
"Gabriel Trainer, Oregon",Ariella Granett,2024-10-30 00:00:00 +0300,"I haven't flown since 2019, it's way past due to take climate change seriously.",/images/Messenger_creation_03BF1D11-4651-4D10-B97D-BD28D1DC236D.png,https://flightfree.org/stories-5/gabriel-trainer-oregon,2024-10-30-gabriel-trainer-oregon.md
"Curt Hill, Washington",Ariella Granett,2024-09-06 00:00:00 +0300,"I’ve known flying was terrible for the environment, but I kept justifying. It’s become time for stop! Flying will now become something I rarely do!",/images/head+shot+-+tim+long+.jpg,https://flightfree.org/stories-5/curt-hill-washington,2024-09-06-curt-hill-washington.md
"Linda Ellsworth, Washington",Ariella Granett,2024-08-18 00:00:00 +0300,Why pledge Flight Free for the Climate?I already live in paradise. I have no need to travel. One of my favorite pastimes is hiking in the local forests near my home.,/images/image_6487327.JPG,https://flightfree.org/stories-5/linda-ellsworth-washington,2024-08-18-linda-ellsworth-washington.md
"Beth Hamon, Oregon",Ariella Granett,2024-04-25 00:00:00 +0300,"Between the ages of 0 and 36, I boarded an airplane exactly twice. Due to a midlife career change, my flying shot up quite a lot after age 40, with multiple airplane trips to cities across the country. I was a touring musician, and airfare was covered by whomever hired me for the gig as part of my contract. I hated how much I was flying but could do nothing about it without jeopardizing my career and the number of gigs I was booking. That all changed last fall. After a lifetime of working with my hands in various fields, I began to experience severe pain and was diagnosed with advancing arthritis at age 60. My music career ended, and with it came forced semi-retirement. While I ache at no longer being able to play my instrument, I am greeting the greater amount of free time with more walks and bicycle rides around my neighborhood, and recently decided that I no longer needed to board an airplane. Other than an emergency trip to help an elderly parent who lives out of state, I see no reason or need to travel by air anymore. When my parent is gone (which will likely happen sooner rather than later) I will no longer need to fly even for an emergency. The yearlong pledge is an experiment. If it works, I’ll keep extending it annually.",/images/image0+%289%29.jpeg,https://flightfree.org/stories-5/beth-hamon-oregon,2024-04-25-beth-hamon-oregon.md
"Emily Wang, Massachusetts",Ariella Granett,2024-04-17 00:00:00 +0300,I stopped flying last year and the benefits have vastly outweighed the downsides (if there are any downsides at all!). I got into biking for the first time and I love it - I'm now training for my first long distance bike tour. My carbon footprint is way smaller. I've explored more of my locale. And I love connecting with other people who also avoid flying and enjoy human-powered travel. I don't see any reason to fly this year.,/images/IMG_1833.jpeg,https://flightfree.org/stories-5/emily-wang-massachusetts,2024-04-17-emily-wang-massachusetts.md
"SAMRAT PATHANIA, NEW YORK",Ariella Granett,2024-04-17 00:00:00 +0300,"The future of our families (our children, their children,...) is at grave risk from the twin catastrophes of ecological destruction and climate change. But we can't seem to get rid of the collective malaise of helplessness that we seem resigned to. The helplessness is not grounded in fact, but in selfishness, in convenience, in delusion. I refuse to be deluded. I have not been on a plane in 12 years. I have only flown 4 times in my life. I commit to not flying except in a family emergency. Additionally, I live in a Net-Zero home and coach others to decarbonize their lives as well.",/images/Photo.JPG,https://flightfree.org/stories-5/samrat-pathania-new-york,2024-04-17-samrat-pathania-new-york.md
"Heather MacLeod, California",Ariella Granett,2024-04-05 00:00:00 +0300,"2024: I'm taking this one year at a time! Last year was my first flight-free year. At the beginning of 2023 I took monthly trips from Oakland to San Diego, and discovered that the Flix bus drives through the night to get me back home in time to work the next day. I managed to avoid flying even though I had a family wedding to attend on the opposite side of the country. I took the train round trip from California to Rhode Island (and then ""stopped by"" Georgia), and it worked just fine! So far so good!2023: When I learned that air travel burned more fossil fuels than any other form of travel, it was easy to understand WHY I wanted to fly less. How to do it in a way that lets me be with people I love has been the challenge.For the last 10 years I've been experimenting with riding the bus (Flix or Greyhound) or taking train from my home in Oakland to San Diego, Las Vegas & LA, where most of my family are. Driving my electric car became an option when I got one. I had to change my idea of travel, by making the driving part of the vacation.(as opposed to the work I had to do before the vacation happened)My best success was last summer, when a friend drove down with me to Ventura, and we spent the night near the beach in Ventura. Then he took the train back north while I drove on to San Diego. On my way back from San Diego, I met up with another friend who had taken the train to San Luis Obispo. We spent the night at the youth hostel there, enjoyed the town, and then meandered up the coast for 3 - 4 days before going home.I'm still aiming for a 100% flight free year. I almost made it last year, but I felt too desperate about helping Warnock win, so I flew to GA to knock on doors. This year I'm researching how I can drive my electric car to a family wedding in Rhode Island. (I've never driven my Bolt across the country.)I think the secret is clearing out the time, and having fun along the way. Being able to work a little on zoom as I travel is helpful. Having my brother come along will make it more fun, and will give me even more time with family. It's also useful to remember that spending money on campsites or hotel rooms is just part of the vacation expenses - and that when it comes to the climate, some of the ways I habitually try to save money may actually hurt the planet.",/images/Heather_Marco_train-photo.jpg,https://flightfree.org/stories-5/heather-macleod-california,2024-04-05-heather-macleod-california.md
"Mark Huising, California",Ariella Granett,2024-02-18 00:00:00 +0300,"I'm an academic who used to fly a lot professionally. Invitations to far away places to talk about science are treated as a sign of academic excellence, but one that comes with a climate cost that many of my colleagues do not want to be reminded of. I've largely cut out my professional flights, declined invitations to travel overseas and replaced some regional trips with train or carpool. I still travel by plane to my native Europe, where our entirely family still lives, prioritizing those infrequent flights with my kids to stay connected their relatives over the high number of professional flights that are normalized in academia.",/images/IMG_0669.jpeg,https://flightfree.org/stories-5/mark-huising-california,2024-02-18-mark-huising-california.md
"Conrad Ruiz, Florida",Ariella Granett,2024-01-25 00:00:00 +0300,"I've stopped flying since February 2023, after I decided to move back home with my parents in order to better look after them (my Dad is 97 years old as of this writing). I. Don't. Like. Flying. I never have. Adding meaningless significant distance from the people I care about most looks downright silly in hindsight, but hey, I had my reasons, and those reasons changed.Since studying more about environmental sustainability and sustainability leadership through leaders likeJoshua Spodek, Robin Greenfield, and others, it came to my attention that I'd rather ""travel"" much more locally, and by any means other than by car where I can help it, and I can really help it!Less is more in so many ways. Sacrifice is beholden to a lot of perspective, as there's so much to gain from not flying. Not everyone agrees, and that's okay - people are weird and live in dual states of conflicting interest all the time. I hope this pledge and story at best remind others to help those around them be true to themselves and what they really care about.",/images/Conrad_20210715_-2.jpg,https://flightfree.org/stories-5/conrad-ruiz-florida,2024-01-25-conrad-ruiz-florida.md
"Rivera Sun, Maine",Ariella Granett,2024-01-23 00:00:00 +0300,"During the pandemic, as my industry shifted to online trainings, I saw how much we could reduce our carbon emissions. By making a pledge not to fly, I've pushed my nonprofit organization to build a regional trainers network that increases skills throughout the US and keeps our collective carbon footprint low. I hope it inspires other networks to do similarly.Author ofThe Dandelion InsurrectionandThe Way BetweenWebsite:www.riverasun.comEditor ofNonviolence NewsAdvisory Board Member,World BEYOND WarAdvisory Board Member,Backbone Campaign",/images/DSCN3421+%281%29.jpg,https://flightfree.org/stories-5/rivera-sun-maine,2024-01-23-rivera-sun-maine.md
"Evelyn Wallace, Oregon",Ariella Granett,2024-01-23 00:00:00 +0300,"If you had asked me a little over a year ago the likelihood of me giving up intended flying for the rest of my life, I would have assured you the likelihood was slim to none, probably closer to none. I was a world traveler and proud of it. I had explored other cultures, lived among communities as a cultural minority, and done the hard work of breaking out of my own comfort zone. I was living life the right way, wasn’t I?That all changed in early 2023, when I somewhat accidentally stumbled into a Sustainability Leadership workshop lead byJosh Spodek. It was never suggested to me that I give up flying. In fact, it was never suggested to me that I do anything particular, sustainability-wise. “Ten Little Things You Can Do To Save The Environment” this approach was not.Instead, I was lead into reflecting on my own values, and into seeing where my life could use… shall we say, a little more alignment between my values and behaviors. In the workshop, the shape this alignment took was up to me. My first actionable change was a moderately hesitant commitment to ride my son to day care once a week instead of drive. I did it. And you know what? It was fun! I found I wanted to do it more. It wasn’t long (a few months?) before I had fallen in love with biking: the speed, the combination of commute and workout, the exposure to the best skyscapes, the astounding number of “hellos” and connecting with new and old friends… not to mention the financial liberation from filling up the gas tank. In addition to biking, I started looking at my food differently (why did it all come with so much free trash?). I started looking at my energy use differently.Over the course of the next year, living in alignment with my own values turned into a recognition that polluting hurts people, and that flying is one of the polluting-est things humans do. So, I could either continue a behavior that I knew to be out of alignment with my own values… or I could change that behavior.I took my last intended flight in May of 2023 from Oregon to New York. It was a farewell of sorts, and an opportunity to meet--in person--my two mentors: one my sustainability teacher and one my Hip Hop Teacha. Now, when I ride my bike coast to coast to reconnect with these mentors in 2025, I will have had one in-person point of contact with each of them prior to the journey. It doesn’t make taking that last flight benign, but that was the decision I made, and why.I envision a future where our global culture shifts, and air travel (as well as all polluting, unsustainable activities as a whole) is/ are seen as an old fashioned thing: a thing we did before we knew better. And I’m proud to do my part in offering living proof that it is really quite fun on the other side.",/images/IMG_4747.jpg,https://flightfree.org/stories-5/evelyn-wallace-oregon,2024-01-23-evelyn-wallace-oregon.md
"Eunnye Yang, New York",Ariella Granett,2024-01-22 00:00:00 +0300,"My last flight was in Summer 2016 to visit South Korea.  I have not flown since then.I used to love flying all over the world and visiting Korea was a regular trip to me without thinking twice. Now, I see differently about traveling by air ever since I have become more aware of living sustainably.  If covid pandemic did not occur, I was pretty sure that I would not have stopped flying frequently.I prefer traveling more locally and my desire to visit foreign countries by air has been significantly lowered.  I pledge to fly home only once every couple of years.",/images/eunnyeyoga5.jpeg,https://flightfree.org/stories-5/eunnye-yang-new-york,2024-01-22-eunnye-yang-new-york.md
"Joshua Myrvaagnes, Massachusetts",Ariella Granett,2024-01-20 00:00:00 +0300,"What are your alternatives to flying?Train and videoconferencing, walking, bicycling, poetry, and drL--an un-technology that slows us down instead of speeding us up",/images/1517689131626.jpg,https://flightfree.org/stories-5/joshua-myrvaagnes-massachusetts,2024-01-20-joshua-myrvaagnes-massachusetts.md
"Gabriel Vegh-Gaynor, Oregon",Ariella Granett,2024-01-20 00:00:00 +0300,"I pledge to have less frequent air travel and to be more intentional and grateful for the ability to travel when I do. Primarily as a climate action and also as a way to commit to living fully in my local region, being more connected with my community, and experiencing the beauty and natural wealth of the fragile habitats we reside in. I work on solid waste policy and methane emissions mitigation projects and believe there is no limit to the ways we can all be climate activists!",/images/image_50391297.jpg,https://flightfree.org/stories-5/gabriel-vegh-gaynor-oregon,2024-01-20-gabriel-vegh-gaynor-oregon.md
"Beth Bailey, California/ Mexico",Ariella Granett,2024-01-20 00:00:00 +0300,I have taken a class withJosh Spodekand used a carbon calculator to determine thatI had contributed 20 tons in 2023 by flying alone. I realized I wanted to change that.I live in Mexico and my children and grandchildren are in the US so I'm pledging to do one flight a year to Houston and to use busses and trains from there to visit family.,/images/image-asset.jpeg,https://flightfree.org/stories-5/beth-bailey-california,2024-01-20-beth-bailey-california-mexico.md
"Mike Roberts, California",Ariella Granett,2024-01-06 00:00:00 +0300,"Eliminating even one long-distance flight saves more carbon than my family generates at home and from the car for an entire year. I love lowering my emissions by doing less and saving money! Meanwhile, I am working for systemic change through Citizens' Climate Lobby. We need changes big and small to get to net zero - and we can do it!!",/images/IMG_2334+MR.jpg,https://flightfree.org/stories-5/mike-roberts-california,2024-01-06-mike-roberts-california.md
"Judah Adashi & Lavena Johanson, Maryland",Ariella Granett,2024-01-06 00:00:00 +0300,"With the exception of one round-trip flight for a family emergency in 2021, we have taken and honored the Flight-Free Pledge since January 2020. Four years! We've been taking cross-country train trips instead, and we recently bought an electric vehicle. Thank you for all that you do!",/images/Judah+Adashi+and+Lavena+Johanson.jpg,https://flightfree.org/stories-5/judah-adashi-amp-lavena-johanson-maryland,2024-01-06-judah-adashi-lavena-johanson-maryland.md
"Betsy Newnum, Washington",Ariella Granett,2024-01-04 00:00:00 +0300,"I plan on flying 1-2 trips only, in 2024, saving them for family needs.  Retired, I can drive my car only every other day, as best as I can, walking to  grocery, drug and park nearby. When someone tells me high handedly, that the plane will fly anyway I respond that I can live with myself, and lighten some of my climate despair. I've been involved in climate actions for 10 plus years in my career, so it’s part of who I am. I've scheduled a train vacation to Glacier National Park in June.We MUST ALL do something. So happy to find this community.",/images/jack+betsy+vromans+nose.jpg,https://flightfree.org/stories-5/betsy-newnum-washington,2024-01-04-betsy-newnum-washington.md
"Nancy Friel, Oregon",Ariella Granett,2023-12-31 00:00:00 +0300,"I strongly believe that everyone, especially those with financial means, must do everything within their personal power to reduce greenhouse gas emissions. In this climate emergency, every action taken to end the use of fossil fuels matters.I have an all electric car, so I have no excuse not to stop emitting carbon for travel. It's on my bucket list to plot out interim destinations for car charging (and recharging myself from driving) along the 1000 mile road trip to visit my daughter. Embracing slow travel as my new normal makes complete sense, since I am slowing down as I age. It would be nice to live by Emerson's words ""it's not the destination, it's the journey"".",/images/meandmydog.jpeg,https://flightfree.org/stories-5/nancy-friel-oregon,2023-12-31-nancy-friel-oregon.md
"Joe Ciofalo, Arizona",Ariella Granett,2023-12-30 00:00:00 +0300,"2024: Seems a no-brainer to me. Until planes can fly with zero emissions, I’m grounded!2023: Climate, hassles, stress - these are the main reasons I’m not flying in 2023. Each is fairly self-explanatory, so I’ll only say that it would be nice if more people would expand their moral circle to include all sentient animals who suffer.  Agriculture is a major source of greenhouse gas emissions, accounting for more than the entire transport sector. So, besides not flying in 2023, I’ll not be eating any animals either. Please join me.",/images/IMG_8437_Original.jpg,https://flightfree.org/stories-5/joe-ciofalo-arizona,2023-12-30-joe-ciofalo-arizona.md
"Sue Boyde, New Zealand",Ariella Granett,2023-12-30 00:00:00 +0300,"I learned from the first XR Talk I attended in 2018 about the emissions of flying. I haven't taken a flight since then. I have reduced my emissions to around 2.5 tonnes CO2e p.a. I visit with family overseas by Zoom. I am currently privileged to be wearing a tracking cuff, EM bail for climate resistance with Restore Passenger Rail (NZ sister organisation to Just Stop Oil). We may be f*cked but I am doing my best to fight it.",/images/image-asset.jpeg,https://flightfree.org/stories-5/sue-boyde-new-zealand,2023-12-30-sue-boyde-new-zealand.md
"GLEN ANDERSON, WASHINGTON",Ariella Granett,2024-04-17 00:00:00 +0300,I flew only a few times when necessary since 1979. I STOPPED FLYING altogether in 2010.,/images/Glen+Anderson+-+3-23-2017+photo+by+Joe+Sanders+%231433.jpg,https://flightfree.org/stories-4/glen-anderson-washington,2024-04-17-glen-anderson-washington.md
"Tim Peters, Massachusetts",Ariella Granett,2023-12-30 00:00:00 +0300,"I'm committed to not flying during the climate emergency. Our planet is on fire...I don't need to add any fuel to it! There's so much diversity in my own neighborhood...of people...of plants...of philosophies. If you want to get outside your comfort zone, you can get there by foot! I'd rather build community where I am. I don't need to seek out experiences; I want to be an experience!",/images/untitled-22crop+c.jpg,https://flightfree.org/stories-4/tim-peters-massachusetts,2023-12-30-tim-peters-massachusetts.md
"Don Parda, Washington",Ariella Granett,2023-12-30 00:00:00 +0300,"Less flying is part of my overall messaging as follows.Consumers (individuals, organizations, businesses, governments) must promptly minimize their greenhouse gas emissions to bridge the gap while we work on long-term green technology and infrastructure. Less heating and less cooling (none between 13C-30C/55F-85F,https://greenbetween.home.blog). Less driving. Less flying. Less meat-eating. Less population growth (2 children max). Do it yourself. Tenaciously encourage others to do it.I tenaciously promote this messaging, and encourage you to do the same. Files for promotional material can be foundhere.",/images/image0+%288%29.jpeg,https://flightfree.org/stories-4/don-parda-washington,2023-12-30-don-parda-washington.md
"Sam Christy, Massachusetts",Ariella Granett,2023-12-22 00:00:00 +0300,"If we are remembered at all by future generations it will not be for our achievements, awards, or the exotic places we visited, it will be for the answer to one question: how did we, personally, deal with climate change.I feel like the whole notion that we need to hop on a plane and travel thousands of miles has been sold to us as nothing more than a bill of goods and a costly one at that. For the past 12 years our family has been enjoying our sub-stratospheric life and discovering endless wonder just a few miles from our house.",/images/image-asset.jpeg,https://flightfree.org/stories-4/sam-christy-massachusetts,2023-12-22-sam-christy-massachusetts.md
"Samantha Sommer, California",Ariella Granett,2023-12-19 00:00:00 +0300,"As a witness to the ongoing destruction of our beautiful planet, the fun of traveling to far away places that once filled my soul with delight, is replaced by sadness, guilt, and a conscience that doesn't have room for that kind of pleasure anymore.  I know the problem is systematic, but I fiercely believe that everything we do matters...every. little. thing. I want to make any kind of positive impact I can, and I consider this a small sacrifice in the face of what is happening to our beloved, precious,  Pachamama.  I hope to teach by my example and to inspire others to do the same, the way that others here have inspired me.",/images/Untitled+drawing+%2817%29.jpg,https://flightfree.org/stories-4/samantha-sommer-california,2023-12-19-samantha-sommer-california.md
"Peggy Printz, Washington",Ariella Granett,2023-12-19 00:00:00 +0300,"Letter to the Editor, Seattle Times, Monday, December 18,Instead of “fixing"" flying as the author of “Why Flying Is Miserable: And How to Fix It” describes (Nov. 28, Travel), there’s a better way to avoid the misery of aviation. Stay home! Travelers can find alternatives to in-person meetings, such as Zoom and FaceTime calls. Rather than birding in New England, take your binoculars to the Edmonds Pier. Skip that uncomfortable flight to Mexico and order tacos here in town. You’ll keep costs down, too.Because aviation represents a growing threat to the climate. you’ll also do the planet a favor.",/images/Printz.jpeg,https://flightfree.org/stories-4/peggy-printz-washington,2023-12-19-peggy-printz-washington.md
"Suzannah Tobin, Michigan",Ariella Granett,2023-11-15 00:00:00 +0300,I can no longer justify flying. Any pleasure I would get from traveling to a destination by air would be massively outweighed by the guilt I would feel for the amount of jet fuel being burned. Flying is a luxury not a right. The planet needs our help and this seems like the perfect way to start.,/images/IMG_3719.jpg,https://flightfree.org/stories-4/suzannah-tobin-michigan,2023-11-15-suzannah-tobin-michigan.md
"JD Stillwater, Pennsylvania",Ariella Granett,2023-11-11 00:00:00 +0300,"My conscience won't let me do it. I did fly this past June, when I had to be at two conferences four states away on the same day. I would sign the top tier pledge to not fly during the climate emergency, but I think some air travel will be justified, even in a fully-sustainable economy. The lack of decent (fast) railroad service in North America makes it really difficult. It's the frivolous, optional air travel (along with lots of other expressions of rampant consumerism) that's killing our chances at 1.5 degrees.Read about JD’s work atjdstillwater.earth",/images/JD+Promo+Pic-tight.jpg,https://flightfree.org/stories-4/jd-stillwater-pennsylvania,2023-11-11-jd-stillwater-pennsylvania.md
"Donna Shaunesey, Virginia",Ariella Granett,2023-11-06 00:00:00 +0300,I’m a climate activist and am lucky enough to be able to take the train to visit family.,/images/image0+%286%29.jpeg,https://flightfree.org/stories-4/donna-shaunesey-virginia,2023-11-06-donna-shaunesey-virginia.md
"Ed Fallon, former Iowa legislator, talk show host",Ariella Granett,2023-11-03 00:00:00 +0300,"“I live in the middle of the US (fly-over country, haha) and have family in Oregon, Florida, Massachusetts, and Ireland. This fall, my wife and I are visiting my family in the continental US by car (which we've done many times before). Next year, we have to make one trip to Ireland, then I'm done with flying until the climate emergency ends or an airplane fuel that doesn't worsen the climate crisis becomes available.”On October 30th, 2023 theFallon Forum radio showspoke with Flight Free campaigner Dan Castrigano about climate, aviation, and the proposed Des Moines Airport expansion. In Polk County, Iowa Public Measure A wants voters to approve a $350 million bond to expand the airport, which would have a resoundingly negative climate impact. Ed Fallon writes “If you support building a bigger airport to increase air travel, you aren’t serious about the climate crisis.”  Read and listen in athttp://fallonforum.com/climate-is-on-the-ballot/",/images/Ed-pipes-close-up.jpg,https://flightfree.org/stories-4/ed-fallon-iowa,2023-11-03-ed-fallon-former-iowa-legislator-talk-show-host.md
"Steve Heilig, California",Ariella Granett,2023-10-07 00:00:00 +0300,"I cut down on flying two decades ago when climate science became already clear enough (and when flying also became ever less fun). With the advent of virtual meetings etc it’s become even less essential. I think I’ve flown twice in that time.I don’t preach about it, but am continually amazed and dismayed that even my most aware friends don’t feel it’s worth cutting down on even nonessential travel. “The human conscience subsist on very questionable food,” as some wise person said.",/images/image-asset.jpeg,https://flightfree.org/stories-4/steve-heilig-california,2023-10-07-steve-heilig-california.md
"Scott Peer, California",Ariella Granett,2023-09-03 00:00:00 +0300,"Having worked on NASA projects for decades and being sensitive about pollution, I started reducing my air travel long ago. The pandemic added more incentive to reduce air travel, and I've only been on a plane once since then, to see family.When friends talk about their trips around the world to look at different places and things, I cringe. There's plenty to do closer to home; international travel should be a rarity, not a hobby.",/images/20230812_134609selfie.jpg,https://flightfree.org/stories-4/scott-peer-california,2023-09-03-scott-peer-california.md
"Nodiah Brent, New Mexico",Ariella Granett,2023-08-30 00:00:00 +0300,"In 2018, a family member and I went to Italy and The Netherlands to visit friends and family. When we returned, I asked him if he had enjoyed the trip. He told me he hadn't because of the carbon footprint. I replied that I had made an additional donation above and beyond my monthly subscription to Treesisters in order to offset the flights. He explained that until carbon was being removed from the air, no amount of offsets would suffice. I haven't flown since. Instead I explore the beautiful state that I live in, by bus. I feel disappointed that our rail and bus systems have degraded to the point where it's hard to travel efficiently to other states. But as long as I'm respecting this breathtakingly beautiful planet that honors and provides for our needs, I feel content.",/images/kneeling.jpg,https://flightfree.org/stories-4/nodiah-brent-new-mexico,2023-08-30-nodiah-brent-new-mexico.md
